Position,Date Posted,Application Due,Position Type,Number of Openings,Location,Targeted Academic Majors,Hiring Status,Job Function,Payment Type and Range,Hours Per Week,Workplace Type,Transportation,Work Authorization,Additional Documents,Desired Skills,Description,Bouve College of Health Sciences,College of Engineering,"College of Arts, Media & Design",College of Science,College of Social Science & Humanities,D'Amore-McKim School of Business,Khoury College of Computer Sciences
Applications Engineer #1,"Oct 15, 2020","Dec 18, 2020",Co-op,1,"Andover, Massachusetts United States","College of Engineering/Electrical Engineering, College of Engineering/Electrical and Computer Engineering",Available,Engineering - Other,Hourly/$19 to $25 (USD),Full Time (32+ Hours Per Week),Primarily on-site work,Car required for commute,,,,"The OpportunityVicor is looking for talented undergraduate and/or graduate Electrical Engineering students for exciting co-op opportunities in Applications Engineering. Vicor leads the industry in power conversion and provides high power density and high efficiency power solutions to telecommunications, computing, industrial, military, and automotive systems. Vicor’s Applications Engineering team represents the boundary where cutting edge technologies meet leading edge power conversion.As an Applications Engineering Intern, you will be part of a team of highly experienced Application Engineers with industry recognition in the field of power electronics. You will be exposed to the development of next generation state-of-the-art power components as well as the leading edge technologies which will be powered by them. You will work in a state of the art power electronics laboratory where you will gain hands on real life experience that will accelerate your knowledge and learning in nearly every aspect of electrical engineering. Based on your ability to grasp key aspects of the power electronics industry; you will also have an opportunity to research and contribute to the publication of technical articles and papers. Regardless of whether or not you intend to pursue a career in Power Electronics; if you are intending to develop any discipline in analog electrical engineering, this opportunity will provide a lifelong benefit.The JobAn Applications Engineering Intern will do the following:The QualificationsAn ideal candidate for Applications Engineering Intern would have the following qualifications:",No,Yes,No,No,No,No,No
Test Engineering Co-op,"Sep 17, 2020","Dec 31, 2020",Co-op,1,"Ithaca, New York United States","College of Engineering/Mechanical Engineering, College of Engineering/Industrial Engineering, College of Engineering/Engineering Management",Available,Engineering - Other,Hourly,Full Time (32+ Hours Per Week),Primarily on-site work,,,,,"To apply:1) submit your application through this NUworks site;Test Engineering Co-ops improve the processes of data acquisition, reduction, & analysis while developing test instrumentation and data acquisition systems.BorgWarner Morse Systems is the world leader in automotive chain systems for engine timing and power transmission/torque transfer. Transforming vehicles to more fuel efficient, cleaner technologies requires a collaborative partner who understands the evolution of mechanical to electric systems. Our expertise in both provides the critical underpinnings of efficient and powerful propulsion. Integrating electronics into the mechanical system is the key to performance, packaging and cost. This is evidenced across a full line of our combustion, hybrid and EV products for light vehicles, medium & heavy duty vehicles as well as off-highway applications. We continually set global benchmarks for valve timing and drivetrain chain performance. We are a tier one supplier, which means we sell directly to the major automotive manufacturers, such as Ford, GM, and Chrysler. About 70% of the vehicles on the road have a Morse Systems product in it.We look forward to meeting students that have drive, initiative, and a ""can do"" attitude. We are seeking students that have excellent verbal and written skills, an understanding of engineering principles and a willingness and desire to learn. A methodical thought process to problem solving will be beneficial in this position, as is the ability to work independently or in a team setting. Co-ops must possess good analytical and deductive reasoning skills and computer literacy is necessary.You are receiving real, hands on knowledge that can be considered full-time experience on any resume. For that reason, we desire hard working, serious students.To learn more about BorgWarner Morse Systems, visit their About Us page: https://www.borgwarner.com/company/locations/ithaca/en/aboutus",No,Yes,No,No,No,No,No
Manufacturing - Quality Engineering Internship (Spring 2021),"Sep 15, 2020","Jan 08, 2021",Co-op,3,"Palo Alto, California United States Fremont, California United States Sparks, Nevada United States","College of Engineering/Mechanical Engineering, College of Engineering/Industrial Engineering, College of Engineering/Engineering Management",Available,Manufacturing,Hourly/$19 to $25 (USD),Full Time (32+ Hours Per Week),"On-site work is preferred when public health concerns allow, Remote work is permitted when public health concerns dictate, Primarily on-site work",,,,,Requirements,No,Yes,No,No,No,No,No
Device|Client Support Analyst,"Aug 06, 2020","Jun 29, 2021",Co-op,4,"Cambridge, Massachusetts United States","College of Engineering, College of Professional Studies, College of Science, Khoury College of Computer Sciences",Available,Other,Hourly/$15 to $21 (USD),Full Time (32+ Hours Per Week),"Remote work is permitted at any time, Primarily on-site work, Primarily remote work",,,,,"Description- Learn about our innovative Sense home energy monitoring hardware and software in-depth.- Client and Operations Support - majority of time will be spent on customer support assisting our customer with technical support.- Work with customers, our Engineering team, and your Support teammates to help diagnose and resolve any problems.- Respond to email support inquiries from customers.- Develop Knowledge Base articles to address customer issues.- Analyze and report on trends related to customer questions.- Take ownership of assigned tasks with the appropriate level of urgency in seeing them get resolved.- Excellent verbal and written communication skills.- Strong analytical and troubleshooting skills.- Able to balance business priorities with customer priorities.- Proactive, collaborative, creative, energetic, passionate about building a great product and providing excellent customer service.- Quick learner, inquisitive, intellectually curious, strong attention to detail.- Basic programming experience and/or Linux familiarity a plus, but not required.- Must be a recent college graduate or currently enrolled in a four-year degree program.- Full-time availability (6-Months)Company Culture- Team Oriented- Remote position- Flexible hours - No weekends!- Startup culture",No,Yes,No,Yes,No,No,Yes
Patient Care Associate - BWH Medical Cardiology & CCU ,"Oct 09, 2020","Jan 04, 2021",Co-op,2,"Boston, Massachusetts United States","Bouve College of Health Sciences/Physical Therapy, Bouve College of Health Sciences/Nursing, Bouve College of Health Sciences/Health Science, College of Science/Cell and Molecular Biology, College of Science/Biology, College of Science/Biochemistry, College of Science/Behavioral Neuroscience",Available,Healthcare - Nursing,Hourly/$15 to $21 (USD),Full Time (32+ Hours Per Week),Primarily on-site work,Accessible by public transportation,,,,"About this unit:NRSG 2000, NRSG 2220/1 - Nursing Interventions and Assessment LabCurrentlyenrolled in BSN programStudents must be very open the first 3 weeks of the co-op for orientation.GREAT CO-OP EXPERIENCE WITH STAFF THAT ENJOY TEACHING!",Yes,No,No,Yes,No,No,No
Pharmacy Intern - Community Specialty - Back Bay,"Aug 07, 2020","Dec 31, 2020",Co-op,4,"Boston, Massachusetts United States",Bouve College of Health Sciences/Pharmacy,Available,Healthcare - Health Sciences,Hourly/$15 to $21 (USD),Full Time (32+ Hours Per Week),Primarily on-site work,Accessible by public transportation,,,,,Yes,No,No,No,No,No,No
House Staff - St. Ambrose Family Shelter,"Sep 16, 2020","Jan 08, 2021",Co-op,1,"Dorchester, Massachusetts United States","College of Arts, Media & Design, Bouve College of Health Sciences, College of Science, College of Social Science & Humanities",Available,Social / Human Services,Hourly/$15 to $21 (USD),Full Time (32+ Hours Per Week),Primarily on-site work,Accessible by public transportation,,,"Customer Service, Attention to Detail, Advocacy, Empathy",HOUSE STAFF -POSITION DESCRIPTIONQUALIFICATIONS,Yes,No,Yes,Yes,Yes,No,No
Private Market Operations Co-op,"Oct 08, 2020","Dec 31, 2020",Co-op,1,"New York, New York United States","D'Amore-McKim School of Business/Supply Chain Management, D'Amore-McKim School of Business/Management Information Systems, D'Amore-McKim School of Business/Marketing, D'Amore-McKim School of Business/Management, D'Amore-McKim School of Business/Finance, D'Amore-McKim School of Business/Entrepreneurship and New Venture Management, D'Amore-McKim School of Business/Business Administration, D'Amore-McKim School of Business/Accounting",Available,Finance - Investment Operations,Hourly/$23 to $29 (USD),Full Time (32+ Hours Per Week),"On-site work is preferred when public health concerns allow, Remote work is permitted when public health concerns dictate, Primarily on-site work",Accessible by public transportation,,,,,No,No,No,No,No,Yes,No
Pharmacy Intern - Institutional,"Aug 07, 2020","Dec 31, 2020",Co-op,3,"Boston, Massachusetts United States",Bouve College of Health Sciences/Pharmacy,Available,Healthcare - Health Sciences,Hourly/$11 to $17 (USD),Full Time (32+ Hours Per Week),Primarily on-site work,Accessible by public transportation,,,,,Yes,No,No,No,No,No,No
Energy Analyst,"Sep 14, 2020","Feb 01, 2021",Co-op,1,"Boston, Massachusetts United States",D'Amore-McKim School of Business,Available,Other,Hourly/$15 to $21 (USD),Full Time (32+ Hours Per Week),"On-site work is preferred when public health concerns allow, Remote work is permitted when public health concerns dictate, Primarily on-site work",Accessible by public transportation,,,,,No,No,No,No,No,Yes,No
Dunn Lab Co-Op Research Assistant (Brain Health Initiative),"Oct 14, 2020","Jan 01, 2021",Co-op,1,"Nationwide United States Boston, Massachusetts United States","Bouve College of Health Sciences, College of Science, College of Social Science & Humanities",Available,Research,Stipend,Full Time (32+ Hours Per Week),"Remote work is permitted when public health concerns dictate, Primarily remote work",Accessible by public transportation,,Cover Letter,"Quantitative and Qualitative Analysis, Clinical Research, Data Entry, Literature Reviews, Attention to Detail, Collaborative Working, Scientific Writing, Brain Research, Databases","The Dunn Lab (http://www.thedunnlab.com/) is looking to hire a highly motivated and enthusiastic co-op Research Assistant (RA) to support ongoing efforts of the Brain Health Initiative (BHI) (https://brainhealthinitiative.org). The Dunn lab is based in the Psychiatric and Neurodevelopmental Genetics Unit (PNGU) within the Center for Genomic Medicine and Department of Psychiatry. We are a multidisciplinary team of researchers from a range of fields, including epidemiology, public health, genetics, education, neurology, psychiatry, and psychology. In the lab, we use interdisciplinary approaches to better understand the social and genetic factors that influence the etiology of mood disorders, with an emphasis on depression among women, children, and adolescents. The goal of our work is to identify the causal mechanisms underlying risk for mood disorders, develop population-based strategies for prevention, and target these strategies to “sensitive periods,” or developmental stages in the course of the lifespan when the brain is highly “plastic” and therefore when experience, including exposure to childhood adversity, can have lasting impacts. To do this, we analyze genetic and other types of data collected from individuals across the globe, including longitudinal studies that follow children from the time of their birth.The BHI Pilot Study is a cross-sectional web-based study, comprised of an online survey and cognitive games, launched in August 2020 to adult residents in Lakewood Ranch, Florida. The study assesses risk and protective factors related to brain health, and COVID-19 experiences influencing mental and physical health outcomes. Data will be used to write manuscripts and inform future clinical interventions to promote brain health and prevent brain related illness.Under the direction of Dr. Erin Dunn, the Principal Investigator of the lab, the RA will be responsible for conducting literature searches, assisting in data management and data analysis tasks, preparing papers for submission to scholarly journals, preparing materials for conference presentations, and attending BHI and Dunn Lab meetings. Other duties may include: drafting reports and presentations for stakeholders and funders, and developing marketing materials to raise awareness about the BHI.Candidates must have good quantitative skills, an ability to work well in a collaborative environment, fluency with all modes of communication in English, and strong writing skills. Interest in psychiatric disorders, brain health, mental health, and/or adversity/traumatic stress preferred. Candidates will gain experience working in all phases of the research process, ranging from study design to analysis and interpretation of results. Opportunities for co-authorship of manuscripts and presentation of results at scholarly conferences will be available.",Yes,No,No,Yes,Yes,No,No
Product Development Co-op,"Nov 03, 2020","Jan 31, 2021",Co-op,1,"Lexington, Massachusetts United States","Bouve College of Health Sciences/Pharmacology, Bouve College of Health Sciences/Pharmaceutical Sciences, College of Engineering, College of Engineering/Mechanical Engineering, College of Engineering/Chemical Engineering, College of Engineering/Bioengineering, College of Science/Biotechnology, College of Science/Biochemistry",Available,Research & Development,Hourly,Full Time (32+ Hours Per Week),"On-site work is preferred when public health concerns allow, Remote work is permitted when public health concerns dictate, Primarily on-site work",,,,,"Position: Co-op (cooperative education)Reports to: Emily AbbateThis is a 6-month co-op position in Product Development at Janssen Pharmaceutical Companies of Johnson and Johnson. Janssen works to create a world without disease and transform lives by finding new and better ways to prevent, intercept, treat and cure diseases. The Co-op student will work in a product development department specifically focused on drug-device convergence products for treatment of bladder cancer. Product Development is responsible for all aspects of product design and development from concept through scale up to manufacturing for both formulation and device design. The Co-op student will gain knowledge and experience in the emerging area of drug-device combination product development working closely with Janssen lead scientists and engineers.Responsibilities:· Design and prototype drug-device combination and associated delivery system products· Perform analytical methods (such as HPLC analysis) to characterize the chemical, physical, mechanical and functional performance of products· Conduct lab scale experiments to support formulation, device, and combination product development· Develop test procedures and fixtures to conduct experiments· Maintain laboratory notebook and prepare technical reports and presentations· Contribute to development and assessment of potential manufacturing processes· Support nonclinical and clinical activities through hands-on manufacture and characterization of investigational productRequirements:· Strong academic performance· Intellectual curiosity, attention to detail and a team-oriented work approach· Knowledge of basic wet chemistry skills (preparing standards, mobile phases, sample dilutions, etc.)· Knowledge of basic mechanics· Knowledge of MS Office-based applications, statistics and SolidWorks· Strong written and oral communication skills· Positive, self-driven, and contagious work ethic· Legally authorized to work in the United States.Education:· Pursuing a degree in a relevant technical discipline (mechanical, chemical engineering, biomedical engineering, materials science and engineering, pharmacy or related field)· Previous pharmaceutical and/or device industry experience desired",Yes,Yes,No,Yes,No,No,No
Office Assistant,"Sep 30, 2020","Jan 22, 2021",Co-op,1,"Boston, Massachusetts United States","College of Arts, Media & Design, College of Science, College of Social Science & Humanities",Available,Legal Support,Hourly/$15 to $21 (USD),Full Time (32+ Hours Per Week),"On-site work is preferred when public health concerns allow, Remote work is permitted when public health concerns dictate, Primarily on-site work",Accessible by public transportation,,,"Organization, Attention to Detail","Company Name:Swartz & Swartz, P.C.Company Description: Law firm that specializes in product liability, medical malpractice, and other civil litigation. The firm has a national reputation in these fields.Contact Location:Boston, MAJob Information:Job Title: Office AssistantJob Description: Great opportunity offered by National Civil Litigation Firm to learn about the practice of law from the inside.Opportunities to discuss your legal interests with lawyers and staff, as well as hands-on experience with files, including pleadings, memoranda of law, and depositions.Daily Tasks: Special projects including but not limited to assistance with pretrial and trial preparation. Open the office. Attend to equipment such as copy machine and postage meter. Pick up mail. Run errands as necessary. Prepare any Federal Express mail. Responsible for maintaining exhibits and file rooms. Distribute mail. Stamp mail. Assist staff as needed. Maintain library following established procedures. Maintain office supplies. Citizenship Requirements: None. Hours worked/compensation: 40; $15:00/hr.Job Openings:  1Job Region: Metropolitan BostonJob Type: Full TimeWage: $16.00/hr",No,No,Yes,Yes,Yes,No,No
Music Technology Research Engineer Co-op,"Oct 12, 2020","Nov 27, 2020",Co-op,1,"Framingham, Massachusetts United States","College of Engineering, Khoury College of Computer Sciences",Available,Software Development,Hourly,Full Time (32+ Hours Per Week),"On-site work is preferred when public health concerns allow, Remote work is permitted when public health concerns dictate",,,,,,No,Yes,No,No,No,No,Yes
Viral Vector Process Development,"Oct 19, 2020","Dec 31, 2020",Co-op,1,"Cambridge, Massachusetts United States","College of Engineering, College of Science",Available,Pharmaceuticals / Biotechnology,Hourly/$19 to $25 (USD),Full Time (32+ Hours Per Week),Primarily on-site work,,,,"Chemical Process Engineering, Chromatography, Filtration , Flow Cytometry, Bioengineering","At TCR² Therapeutics Inc, our inclusive and diverse team is passionate about curing cancer. We are a clinical-stage immunotherapy company pioneering the development of novel T cell therapies. Our two lead cell product candidates are being studied in Phase 1/2 trials: TC-210 for solid tumors and TC-110 for hematological malignancies. Our research efforts focus on broadening our pipeline with a series of next-generation enhancements that may further improve clinical outcomes. We are headquartered in Cambridge, Massachusetts and have a clinical manufacturing facility in Stevenage, UK.We are looking for a Co-Op to join the Process Development group. In this role you will support the production of lentiviral vectors and execution of cell culture and cell process experiments, perform analytical assays, and support our research and development teams. The position is an excellent learning opportunity. You’ll work closely with experienced scientists in a fast-paced and highly collaborative environment and will expose you to several critical aspects of gene therapy.Responsibilities:Requirements:",No,Yes,No,Yes,No,No,No
Translational Precision Imaging Research,"Oct 06, 2020","Dec 31, 2020",Co-op,2,"Boston, Massachusetts United States","College of Engineering, College of Science",Available,Engineering - Other,"Stipend/$1,000 to $5,000 (USD)",Full Time (32+ Hours Per Week),Primarily on-site work,,,,,"The Center for Precision Imagingin the Martinos Center at Massachusetts General Hospital (http://precision.medicine.martinos.org) has multipleco-op position open for helping to define cutting edge science in personalized medicine and develop tools that can be utilized in the clinic to improve patient health. The candidate will have the opportrunity to learn about the enitre breadth of a translational imaging laboratory. From target selection and molecule design to characterization of disease models in living animals, the co-op will get hands on experience in a number of highly valuable laboratorytechniques including ELISA, Western blot, immunohistochemistry/microscopy, PET imaging and animal models of cancer. The Center for Precision Imaging is an interface between Ph.D. Scientists and MD clinican scientists, providing a unique opportunity to shadow multiple disciplines. We offer excellent training in a collaborative research environment, and this provides an opportunity to gain experience in cancer biology and molecular imaging.A stipend of $5,000 is available for the co-op period.Center for Precision ImagingMartinos Center of Biomedical ImagingMassachusetts General Hospital",No,Yes,No,Yes,No,No,No
Software Engineering Co-op,"Sep 15, 2020","Dec 31, 2020",Co-op,4,"Cambridge, Massachusetts United States","Khoury College of Computer Sciences, Khoury College of Computer Sciences/Information Science, Khoury College of Computer Sciences/Information Assurance, Khoury College of Computer Sciences/Data Science, Khoury College of Computer Sciences/Cybersecurity, Khoury College of Computer Sciences/Computer Science",Available,Software Development,Hourly/$27 to $33 (USD),Full Time (32+ Hours Per Week),Primarily on-site work,Accessible by public transportation,,,,,No,No,No,No,No,No,Yes
Shareholder Services|Risk and Controls Co-op,"Sep 14, 2020","Dec 01, 2020",Co-op,1,"Boston, Massachusetts United States",D'Amore-McKim School of Business,Available,Finance - Compliance/Legal,Unspecified,Full Time (32+ Hours Per Week),"On-site work is preferred when public health concerns allow, Remote work is permitted when public health concerns dictate, Primarily on-site work",Accessible by public transportation,,,,,No,No,No,No,No,Yes,No
